is_parallel_safe,trip_count,nesting_depth,flops_per_iter,total_flops,memory_footprint_bytes,arithmetic_intensity,data_reuse_ratio,coalescing_efficiency,stride_regularity,branch_divergence_count,has_reduction,hw_type_code,bus_bandwidth_gbps,peak_tflops,unified_memory,t_cpu_ms,t_gpu_ms,speedup,is_profitable
1.0,1048576.0,2.0,75.0,78643200.0,12582912.0,6.25,13.0,0.8,0.5,0.0,0.0,0.0,89.6,2.66,1.0,224.60498818779428,1.68855,133.01648644564526,1
1.0,4194304.0,2.0,75.0,314572800.0,50331648.0,6.25,13.0,0.8,0.5,0.0,0.0,0.0,89.6,2.66,1.0,898.4199527511771,10.7866,83.2903744230042,1
1.0,4096.0,2.0,21.0,86016.0,49152.0,1.75,6.0,0.8,0.5,0.0,0.0,0.0,89.6,2.66,1.0,0.2456617058304,0.01718,14.299284390593714,1
1.0,16384.0,2.0,21.0,344064.0,196608.0,1.75,6.0,0.8,0.5,0.0,0.0,0.0,89.6,2.66,1.0,0.9826468233216,0.03938,24.9529411711935,1
1.0,65536.0,2.0,21.0,1376256.0,786432.0,1.75,6.0,0.8,0.5,0.0,0.0,0.0,89.6,2.66,1.0,3.9305872932864,0.7878999999999999,4.9886880229551975,1
1.0,262144.0,2.0,21.0,5505024.0,3145728.0,1.75,6.0,0.8,0.5,0.0,0.0,0.0,89.6,2.66,1.0,15.7223491731456,1.07245,14.660216488550144,1
1.0,1048576.0,2.0,21.0,22020096.0,12582912.0,1.75,6.0,0.8,0.5,0.0,0.0,0.0,89.6,2.66,1.0,62.8893966925824,1.56069,40.295892645293044,1
1.0,4194304.0,2.0,21.0,88080384.0,50331648.0,1.75,6.0,0.8,0.5,0.0,0.0,0.0,89.6,2.66,1.0,251.5575867703296,7.39048,34.03805798409976,1
1.0,1024.0,1.0,1.0,1024.0,12288.0,0.08333333333333333,3.0,1.0,1.0,0.0,0.0,0.0,89.6,2.66,1.0,0.001,0.02292,0.04363001745200698,0
1.0,8192.0,1.0,1.0,8192.0,98304.0,0.08333333333333333,3.0,1.0,1.0,0.0,0.0,0.0,89.6,2.66,1.0,0.0023405714285714284,0.10528,0.022231871471993053,0
1.0,65536.0,1.0,1.0,65536.0,786432.0,0.08333333333333333,3.0,1.0,1.0,0.0,0.0,0.0,89.6,2.66,1.0,0.018724571428571427,0.70729,0.026473683253787596,0
